"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartConfirm\CartConfirm.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 31
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartPayment\CartPaymentInfo.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 6
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartSelect\CartTable.jsx", "JavaScript JSX", 0, 3, 0, 0, 1, 4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\order\OrderDetail.jsx", "JavaScript JSX", 0, 52, 0, 2, 1, 55
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\order\OrderTab.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\order\OrderTimeLine.jsx", "JavaScript JSX", 0, -54, 0, 1, 0, -53
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\productdetail\ProductInfo.jsx", "JavaScript JSX", 0, 22, 0, 1, 2, 25
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\profile\PreviewAvatar.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\profile\ProfileCardInfo.jsx", "JavaScript JSX", 0, 28, 0, 3, -4, 27
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\setting\UpdatePassword.jsx", "JavaScript JSX", 0, 15, 0, 2, -1, 16
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\order\OrderDetail.jsx", "JavaScript JSX", 0, 56, 0, 2, 2, 60
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\order\OrderTimeLine.jsx", "JavaScript JSX", 0, -54, 0, 1, 0, -53
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\product\ProductFormDetail.jsx", "JavaScript JSX", 0, 4, 0, -3, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\product\ProductFormImage.jsx", "JavaScript JSX", 0, -8, 0, 3, 1, -4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\product\ProductFormPrice.jsx", "JavaScript JSX", 0, 3, 0, 0, -1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\product\ProductFormProperty.jsx", "JavaScript JSX", 0, -1, 0, 0, -2, -3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\profile\ProfileCardInfo.jsx", "JavaScript JSX", 0, 8, 0, 3, -4, 7
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\setting\UpdatePassword.jsx", "JavaScript JSX", 0, 15, 0, 2, -3, 14
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\auth\LoginForm\LoginForm.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\auth\RegisterForm\RegisterForm.jsx", "JavaScript JSX", 0, 35, 0, 0, 1, 36
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\package-lock.json", "JSON", 84, 0, 0, 0, 0, 84
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\package.json", "JSON", 2, 0, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\controllers\AuthController.mjs", "JavaScript", 0, 0, 6, 3, 3, 12
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\controllers\EmployeesController.mjs", "JavaScript", 0, 0, 26, 0, 1, 27
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\controllers\OrdersController.mjs", "JavaScript", 0, 0, 39, -1, 7, 45
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\controllers\PaymentController.mjs", "JavaScript", 0, 0, 195, 11, 24, 230
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\controllers\UsersController.mjs", "JavaScript", 0, 0, 39, 0, 1, 40
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\models\Orders.mjs", "JavaScript", 0, 0, -1, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\app\models\Users.mjs", "JavaScript", 0, 0, -1, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\routes\employeesRouter.mjs", "JavaScript", 0, 0, 1, 0, -1, 0
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\routes\index.mjs", "JavaScript", 0, 0, 2, 0, -1, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\routes\ordersRouter.mjs", "JavaScript", 0, 0, 1, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\routes\paymentRouter.mjs", "JavaScript", 0, 0, 11, 2, 5, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\server\src\routes\usersRouter.mjs", "JavaScript", 0, 0, 1, 0, 0, 1
"Total", "-", 1684, 745, 319, 55, 79, 2882
